Processo;Superintendencia;Ano_instauracao;Tipologia_processo;Grupo_economico;Servico_telecom;Renuncia;Valor_multa
535000256692013;Superintendencia 1;2018;Gestão da Qualidade - SeAC;Outros;SEAC;Não;2592556,64
535000256702013;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Não;19385,16
535000256752013;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Grupo 4;SEAC;Não;8960,00
535000256772013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;9222836,87
535000256782013;Superintendencia 1;2013;Outros;Outros;SEAC;Sim;8800,00
535000260982013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Grupo 3;SEAC;Não;1920,00
535000261022013;Superintendencia 1;2018;Outros;Outros;SEAC;Sim;7040,00
535000261032013;Superintendencia 1;2014;Outros;Grupo 1;SEAC;Sim;19200,00
535000261062013;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;6400,00
535000261072013;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;3520,00
535000263522013;Superintendencia 1;2018;Gestão da Qualidade - SeAC;Outros;SEAC;Não;5280,00
535000263752013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;3080,00
535000263762013;Superintendencia 1;2013;Outros;Outros;SEAC;Sim;3840,00
535000266462013;Superintendencia 1;2014;Direitos do Consumidor - SCM;Grupo 6;SEAC;Não;129472,09
535000266472013;Superintendencia 1;2014;Outros;Grupo 6;SEAC;Sim;2200,00
535000266582013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;42474,25
535000266592013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Grupo 6;SEAC;Não;770770,53
535000271032013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;150092,77
535000271052013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SCM;Não;13007,34
535000271122013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;128563,01
535000271132013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;179374,82
535000271142013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;17720,00
535000272102013;Superintendencia 1;2013;Outros;Outros;STFC;Não;220,00
535000272122013;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;23513,24
535000274252018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;50000,00
535000274302018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SEAC;Não;20800,00
535000274332018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;339900,00
535000274362018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Sim;646,40
535000274402018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;448,80
535000274422018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000274452018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;333300,00
535000274462014;Superintendencia 1;2014;Licenciamento de Estação;Outros;SCM;Não;440,00
535000274472018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;333300,00
535000274512018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;440,00
535000274542018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;333300,00
535000274562018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;333300,00
535000274652014;Superintendencia 1;2013;Direitos do Consumidor - SCM;Grupo 5;STFC;Não;152289,32
535000274652018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;20000,00
535000274712018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;440,00
535000274732018;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000274772018;Superintendencia 1;2013;Obstrução à Fiscalização;Grupo 1;SCM;Não;50000,00
535000274782018;Superintendencia 1;2013;Obrigações Legais e Contratuais;Outros;SCM;Não;20000,00
535000274862018;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SCM;Sim;739,00
535000274942018;Superintendencia 1;2013;Obstrução à Fiscalização;Grupo 1;SCM;Não;440,00
535000275012018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;330000,00
535000275032018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;1371,00
535000275052018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SEAC;Não;50000,00
535000275062018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;50500,00
535000275072018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;440,00
535000275092018;Superintendencia 2;2018;Obstrução à Fiscalização;Grupo 2;SCM;Não;12817,87
535000275102018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;101000,00
535000275112018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20000,00
535000275122018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;8157,06
535000275132018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;11992,91
535000275192018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20000,00
535000275242018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;440,00
535000275252018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000275282018;Superintendencia 2;2014;Licenciamento de Estação;Outros;SCM;Não;20200,00
535000275332018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;4728,96
535000275342018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;444,40
535000275352018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000275382018;Superintendencia 1;2014;Direitos do Consumidor - SCM;Grupo 5;SCM;Não;50000,00
535000275452018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;640,00
535000275502018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;101000,00
535000275522018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000275552018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;55000,00
535000276112016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;STFC;Não;193052,32
535000277372016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;STFC;Não;606367,70
535000278112013;Superintendencia 2;2018;Obstrução à Fiscalização;Grupo 6;SMP;Não;278991,86
535000281152014;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SEAC;Não;3226,26
535000282912013;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SMP;Sim;2000,00
535000287132016;Superintendencia 2;2018;Obstrução à Fiscalização;Grupo 4;SMP;Sim;32786,73
535000287362013;Superintendencia 2;2018;Obstrução à Fiscalização;Grupo 1;STFC;Não;200821,89
535000288062013;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;STFC;Não;639,42
535000288232016;Superintendencia 2;2018;Obstrução à Fiscalização;Grupo 2;SCM;Sim;2500,00
535000288322013;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SMP;Sim;875,00
535000289322014;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;588,43
535000289332014;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;8765,70
535000290772016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;22200,00
535000290782016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000290792016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;16459,11
